epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,6688.06,1.09011,0.63766,1.0072,0.86417,0.83895,0.88386,0.56181,1.21606,0.6756,1.07294,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
33,6894.62,1.08072,0.62782,1.00138,0.86343,0.83357,0.88044,0.55687,1.21017,0.67065,1.06046,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
34,7101.06,1.07786,0.61741,1.00442,0.86362,0.82527,0.88368,0.55545,1.20887,0.66855,1.06639,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
35,7307.67,1.0615,0.61113,0.99482,0.8729,0.831,0.88459,0.56035,1.20636,0.65805,1.06844,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
36,7513.99,1.05719,0.60551,0.99434,0.86325,0.82538,0.87725,0.55679,1.21428,0.67551,1.07204,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
37,7720.48,1.04729,0.60061,0.98957,0.86868,0.82914,0.87956,0.55792,1.19849,0.6689,1.05666,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
38,7927.02,1.04091,0.59876,0.9886,0.86704,0.83291,0.88481,0.56544,1.19229,0.6592,1.05908,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
39,8133.62,1.03107,0.58991,0.98543,0.8769,0.8434,0.88782,0.56919,1.19551,0.64722,1.0632,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
40,8340.31,1.03076,0.58949,0.98123,0.89168,0.81437,0.88414,0.56206,1.20592,0.65269,1.06955,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
41,8546.72,1.01653,0.57515,0.97708,0.88137,0.83544,0.89033,0.5705,1.18617,0.6506,1.06038,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
42,8753.06,1.00345,0.56867,0.97397,0.87154,0.83691,0.87956,0.56129,1.19512,0.65451,1.05788,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
43,8959.41,1.00025,0.57022,0.96981,0.88131,0.83278,0.88964,0.57054,1.19048,0.64959,1.06367,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
44,9165.98,0.99216,0.56562,0.96696,0.87569,0.83329,0.88594,0.56831,1.19308,0.64167,1.05419,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
45,9372.42,0.98658,0.55639,0.96586,0.8617,0.844,0.88426,0.56913,1.19323,0.64339,1.05314,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
46,9579.05,0.97593,0.5464,0.96502,0.87089,0.84187,0.88467,0.56967,1.18319,0.63547,1.05845,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
47,9785.44,0.97837,0.54926,0.96069,0.88691,0.83467,0.88726,0.5734,1.17952,0.63156,1.05406,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
48,9991.98,0.96373,0.53944,0.95634,0.87395,0.84822,0.89352,0.57631,1.17989,0.62222,1.05499,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
49,10198.4,0.95817,0.53411,0.95817,0.88287,0.84017,0.88944,0.56972,1.19248,0.62583,1.05896,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
50,10404.8,0.96055,0.53722,0.95674,0.87582,0.84045,0.8888,0.57557,1.18069,0.62639,1.05467,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
51,10611.3,0.94475,0.52715,0.94807,0.87886,0.83489,0.88595,0.57259,1.18617,0.63732,1.05712,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
52,10817.8,0.9435,0.5229,0.95038,0.87261,0.84179,0.88635,0.57379,1.18238,0.62281,1.05412,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
53,11024.1,0.92537,0.5177,0.94375,0.87809,0.84111,0.89238,0.57621,1.18381,0.61619,1.05671,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
54,11230.6,0.92727,0.51112,0.94335,0.87451,0.84027,0.89273,0.58056,1.17865,0.62498,1.05361,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
55,11437,0.92738,0.51539,0.94209,0.88727,0.84294,0.89332,0.57876,1.17332,0.61385,1.05743,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
56,11643.4,0.91028,0.50442,0.93828,0.87577,0.85408,0.89077,0.57674,1.17752,0.61621,1.05669,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
57,11849.9,0.91251,0.50766,0.93792,0.89348,0.84314,0.89389,0.57698,1.1716,0.62407,1.05097,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
58,12056.4,0.9047,0.50281,0.93853,0.87074,0.84939,0.89265,0.5799,1.17279,0.61157,1.05729,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
59,12262.9,0.89892,0.49711,0.93351,0.8808,0.85172,0.89172,0.57747,1.17452,0.61762,1.05243,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
60,12469.3,0.89474,0.49485,0.93326,0.88711,0.8499,0.89448,0.57869,1.17659,0.61292,1.05271,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
61,12675.7,0.88403,0.48804,0.93013,0.8745,0.85775,0.89512,0.57809,1.17577,0.61563,1.05532,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
62,12882.4,0.8766,0.48625,0.9261,0.89185,0.84533,0.89346,0.57951,1.18116,0.61117,1.06009,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
63,13089,0.87252,0.47986,0.92737,0.88414,0.84836,0.89045,0.57809,1.18569,0.61558,1.06163,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
64,13295.4,0.86735,0.47429,0.92502,0.87755,0.85641,0.89251,0.57966,1.17956,0.61777,1.06141,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
65,13501.8,0.85488,0.46951,0.91988,0.89267,0.84579,0.89569,0.58267,1.16722,0.61142,1.06007,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776
66,13708.4,0.85081,0.46634,0.91937,0.88204,0.84719,0.89342,0.5802,1.16645,0.61758,1.05228,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
67,13915.1,0.84754,0.46383,0.91814,0.87832,0.8558,0.89737,0.58343,1.17364,0.61061,1.0567,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
68,14121.4,0.83901,0.46374,0.91491,0.88759,0.84763,0.89764,0.58222,1.16717,0.61031,1.05611,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578
69,14328,0.83088,0.45511,0.91465,0.89085,0.85025,0.89475,0.58034,1.16877,0.6098,1.05884,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512
70,14534.4,0.83309,0.45657,0.91616,0.8851,0.84483,0.89244,0.57905,1.17254,0.61263,1.06147,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
71,14740.8,0.82318,0.45187,0.91092,0.87498,0.8546,0.89446,0.58225,1.17009,0.61439,1.05811,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
72,14947,0.818,0.45004,0.90993,0.89372,0.84241,0.89421,0.58129,1.16432,0.61327,1.058,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314
73,15153.4,0.81145,0.44353,0.90654,0.89979,0.8451,0.8933,0.58054,1.16928,0.6136,1.06226,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
74,15359.9,0.81054,0.44208,0.90819,0.89061,0.84608,0.89299,0.58172,1.17154,0.61385,1.05931,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182
75,15566.2,0.80203,0.43707,0.90339,0.88813,0.8502,0.89432,0.58225,1.17067,0.61372,1.0621,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116
76,15772.5,0.7912,0.43092,0.90285,0.8835,0.85229,0.89252,0.5817,1.17055,0.61064,1.06346,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
77,15979.1,0.78952,0.43311,0.90212,0.87833,0.85854,0.89441,0.58243,1.16937,0.60315,1.06106,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984
78,16185.6,0.77496,0.42508,0.89927,0.87653,0.86201,0.89462,0.58464,1.16433,0.60323,1.06054,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918
79,16391.9,0.77649,0.42656,0.89647,0.88745,0.8507,0.89542,0.58354,1.16235,0.6068,1.06081,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
80,16598.3,0.77231,0.42071,0.89748,0.88345,0.85768,0.89447,0.58245,1.16174,0.61035,1.06029,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786
81,16804.6,0.77177,0.42142,0.89453,0.88308,0.85832,0.89449,0.5816,1.16221,0.61291,1.06257,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
82,17011.1,0.76116,0.41448,0.89251,0.8817,0.85894,0.89374,0.58375,1.16181,0.61471,1.06241,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
83,17217.4,0.75343,0.41088,0.8875,0.88892,0.85101,0.89385,0.58492,1.1593,0.61133,1.06148,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588
84,17423.9,0.74652,0.4096,0.88992,0.88956,0.85461,0.89412,0.58504,1.16335,0.60743,1.06198,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522
85,17630.5,0.74005,0.40197,0.88749,0.88627,0.85198,0.89244,0.58602,1.16445,0.60891,1.06467,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
