epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.9603,1.82638,3.22008,1.33206,0.45161,0.38265,0.31316,0.13846,1.9926,3.96417,1.43989,0.00046676,0.00046676,0.00046676
2,23.4928,1.76946,1.8131,1.33551,0.25114,0.42989,0.1716,0.07487,2.0175,inf,1.96138,0.000943919,0.000943919,0.000943919
3,30.3703,1.78247,1.76098,1.37019,0.12128,0.3473,0.13848,0.056,2.49023,26.0491,2.52177,0.0014147,0.0014147,0.0014147
4,37.2561,1.86721,1.73566,1.40634,0,0,0,0,3.66202,66.9744,16.0504,0.00163399,0.00163399,0.00163399
5,44.1617,1.82143,1.60116,1.39441,0.06066,0.43137,0.04111,0.01877,1.98252,53.6421,2.00394,0.00162299,0.00162299,0.00162299
6,51.0562,1.70539,1.45979,1.33631,0.21985,0.31866,0.11141,0.04171,2.71891,296.91,3.50881,0.00161199,0.00161199,0.00161199
7,58.0421,1.69589,1.3762,1.32137,0.45871,0.40689,0.37088,0.14336,1.91468,6.90671,1.53873,0.00160099,0.00160099,0.00160099
8,65.1821,1.67748,1.36803,1.30089,0.51093,0.47849,0.49459,0.21942,1.99474,5.06569,1.60247,0.00158998,0.00158998,0.00158998
9,72.2247,1.65356,1.33638,1.32563,0.51615,0.46001,0.44628,0.21897,1.92218,4.11249,1.60937,0.00157898,0.00157898,0.00157898
10,79.1025,1.64475,1.29989,1.2857,0.41566,0.48579,0.4132,0.19205,1.85367,4.39858,1.7061,0.00156798,0.00156798,0.00156798
11,86.087,1.61005,1.25589,1.26885,0.45645,0.40279,0.37491,0.15429,2.16516,2.30419,1.88289,0.00155698,0.00155698,0.00155698
12,93.1056,1.55587,1.28538,1.25892,0.57771,0.36168,0.40229,0.17954,2.32552,2.70608,1.85388,0.00154598,0.00154598,0.00154598
13,99.9853,1.50807,1.19766,1.23717,0.76779,0.56518,0.68066,0.3487,1.74571,1.35118,1.40979,0.00153497,0.00153497,0.00153497
14,106.994,1.59088,1.23909,1.27954,0.66976,0.43731,0.54038,0.26466,1.60493,2.0778,1.43165,0.00152397,0.00152397,0.00152397
15,113.85,1.53168,1.16611,1.25081,0.66844,0.42389,0.51506,0.24906,1.80476,1.79601,1.4994,0.00151297,0.00151297,0.00151297
16,120.843,1.50395,1.11846,1.2241,0.55764,0.39944,0.42241,0.20422,2.13092,1.6258,1.78876,0.00150197,0.00150197,0.00150197
17,127.728,1.49533,1.14372,1.22156,0.48535,0.30716,0.3071,0.1484,2.41042,2.47184,2.1054,0.00149096,0.00149096,0.00149096
