epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,7358.34,1.11397,0.64924,1.26818,0.86289,0.83933,0.88716,0.56205,1.26037,0.69815,1.36308,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
33,7589.91,1.11136,0.63916,1.26475,0.86149,0.84184,0.88784,0.56171,1.25636,0.6959,1.36751,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
34,7821.31,1.10771,0.63153,1.26592,0.85991,0.84602,0.89344,0.5644,1.26794,0.69977,1.36587,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
35,8053,1.0872,0.62363,1.24773,0.87159,0.84181,0.89397,0.56722,1.25862,0.68164,1.36565,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
36,8285.1,1.08654,0.61779,1.25293,0.86462,0.84179,0.89196,0.56682,1.25473,0.69286,1.36907,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
37,8516.63,1.07289,0.61142,1.24367,0.84658,0.85802,0.88987,0.56214,1.2599,0.69209,1.36913,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
38,8747.86,1.06682,0.6065,1.2388,0.86404,0.85052,0.89527,0.56636,1.26149,0.67761,1.37628,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
39,8979.49,1.06308,0.60675,1.23123,0.8729,0.84963,0.89708,0.56952,1.25834,0.67127,1.37275,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
40,9211.28,1.05532,0.59512,1.22362,0.86996,0.84625,0.89727,0.57056,1.25332,0.67159,1.37148,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
41,9443.04,1.04876,0.58856,1.22242,0.8846,0.84369,0.89706,0.57128,1.25214,0.66612,1.36863,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
42,9674.65,1.03215,0.57777,1.21239,0.87759,0.83671,0.89413,0.57382,1.25285,0.67011,1.37412,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
43,9906.07,1.03194,0.57816,1.21233,0.87118,0.85429,0.90062,0.57573,1.24624,0.65812,1.36696,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
44,10133.1,1.02151,0.57164,1.20064,0.88859,0.83607,0.89849,0.58019,1.24448,0.6586,1.36267,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
45,10360.2,1.01358,0.56745,1.19595,0.86859,0.84928,0.89847,0.57987,1.23669,0.66536,1.35856,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
46,10587.1,1.00325,0.55765,1.18679,0.88488,0.84277,0.90022,0.57582,1.24108,0.66349,1.36443,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
47,10813.4,1.00623,0.55744,1.19044,0.88576,0.84822,0.90098,0.57851,1.24236,0.66148,1.36748,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
48,11039.2,0.9936,0.55156,1.18085,0.88725,0.84243,0.90161,0.58331,1.23334,0.64403,1.36063,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
49,11264.8,0.98096,0.54473,1.17784,0.88401,0.84684,0.89873,0.57989,1.23703,0.64375,1.36373,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
50,11490.1,0.99116,0.54786,1.18017,0.88286,0.84924,0.90197,0.58382,1.23368,0.64985,1.35701,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
51,11715.7,0.97031,0.53533,1.16818,0.88679,0.84594,0.89961,0.58131,1.23701,0.64416,1.36963,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
52,11941.1,0.97098,0.53265,1.16754,0.88001,0.84706,0.89432,0.57846,1.24719,0.65442,1.3804,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
