epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1634.88,1.26635,0.8498,1.08132,0.8154,0.72857,0.82137,0.47294,1.43552,0.89344,1.15479,0.00121591,0.00121591,0.00121591
43,1673.24,1.25912,0.81744,1.07112,0.83704,0.74155,0.83007,0.47755,1.43539,0.88705,1.15028,0.00120491,0.00120491,0.00120491
44,1711.72,1.24287,0.81145,1.06355,0.84195,0.7239,0.81579,0.48284,1.38845,0.89074,1.14248,0.00119391,0.00119391,0.00119391
45,1750.1,1.23425,0.80682,1.06753,0.81454,0.76066,0.81377,0.46415,1.44231,0.90833,1.159,0.0011829,0.0011829,0.0011829
46,1788.47,1.24767,0.81223,1.06583,0.8187,0.7022,0.79328,0.45148,1.47268,0.95945,1.15068,0.0011719,0.0011719,0.0011719
47,1826.88,1.23755,0.80043,1.05854,0.83772,0.72371,0.80808,0.46477,1.41087,0.9193,1.14971,0.0011609,0.0011609,0.0011609
48,1865.26,1.21756,0.77593,1.0623,0.783,0.77553,0.81279,0.48226,1.39569,0.89119,1.12741,0.0011499,0.0011499,0.0011499
49,1903.6,1.21682,0.77938,1.05858,0.84244,0.73975,0.82986,0.47232,1.4468,0.87546,1.15933,0.00113889,0.00113889,0.00113889
50,1941.98,1.19907,0.76099,1.04874,0.86302,0.74385,0.84421,0.49924,1.37033,0.83609,1.13569,0.00112789,0.00112789,0.00112789
51,1980.43,1.19478,0.77464,1.03897,0.85364,0.7406,0.82834,0.48343,1.39128,0.85536,1.12696,0.00111689,0.00111689,0.00111689
52,2018.8,1.19744,0.76573,1.04444,0.85296,0.74208,0.83353,0.49008,1.41892,0.83392,1.14196,0.00110589,0.00110589,0.00110589
53,2057.08,1.20732,0.76548,1.0541,0.83899,0.74618,0.83013,0.5009,1.36806,0.84089,1.12065,0.00109489,0.00109489,0.00109489
54,2095.58,1.19364,0.75758,1.04172,0.84213,0.76918,0.83936,0.5074,1.36415,0.84579,1.12381,0.00108388,0.00108388,0.00108388
