epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,10393.5,1.12342,0.65502,1.29696,0.87344,0.82019,0.88117,0.55619,1.25296,0.70714,1.40197,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
33,10714.6,1.10903,0.64756,1.28844,0.86754,0.83862,0.8907,0.56056,1.24628,0.69332,1.38518,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
34,11035.8,1.10105,0.6366,1.28467,0.85681,0.83865,0.88299,0.55695,1.25288,0.69888,1.39304,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
35,11356.8,1.0907,0.62807,1.27924,0.86967,0.83325,0.88387,0.56423,1.2394,0.7008,1.38995,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
36,11678.2,1.07631,0.61417,1.26735,0.87264,0.82816,0.88875,0.56886,1.23706,0.69468,1.39325,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
37,11998.9,1.08052,0.61022,1.26669,0.87298,0.84,0.892,0.56665,1.23795,0.67086,1.38828,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
38,12320.1,1.06676,0.60755,1.26044,0.87935,0.8272,0.88838,0.56667,1.24024,0.67854,1.3892,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
39,12641,1.0594,0.60261,1.25431,0.86368,0.84758,0.88984,0.56975,1.23304,0.67768,1.38871,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
40,12961.6,1.04722,0.59054,1.2415,0.87148,0.8447,0.88931,0.56679,1.23647,0.6647,1.38688,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
41,13282.2,1.04584,0.59086,1.24491,0.87303,0.84092,0.88993,0.5646,1.24428,0.67685,1.39731,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
42,13602.5,1.03659,0.57761,1.23426,0.87357,0.83812,0.89209,0.57213,1.2326,0.67436,1.3886,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
43,13923.5,1.0264,0.57527,1.22897,0.87291,0.84621,0.89158,0.57384,1.22077,0.66803,1.38284,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
44,14244.7,1.01104,0.57143,1.21787,0.8756,0.84071,0.89643,0.5761,1.22178,0.65656,1.3852,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
45,14565.8,1.0088,0.56412,1.21632,0.8694,0.8492,0.89438,0.57724,1.23116,0.66275,1.39262,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
46,14887.2,1.00078,0.55996,1.21656,0.88383,0.84375,0.89233,0.57369,1.23173,0.66278,1.39838,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
47,15207.5,1.00063,0.55788,1.21276,0.87967,0.84703,0.89643,0.57619,1.22435,0.65313,1.38844,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
48,15528,0.99341,0.55303,1.20627,0.88501,0.8418,0.89359,0.5786,1.22957,0.6538,1.39601,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
49,15855.5,0.97628,0.53951,1.20036,0.883,0.84083,0.89543,0.57851,1.22096,0.64534,1.39519,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
50,16184.7,0.97413,0.53943,1.19677,0.89108,0.83533,0.8915,0.57994,1.21216,0.65138,1.38906,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
51,16513.4,0.96895,0.53696,1.1905,0.87463,0.84387,0.88961,0.57982,1.21436,0.6388,1.38757,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
52,16842.2,0.96124,0.53246,1.18747,0.88557,0.84691,0.89041,0.57585,1.21555,0.64349,1.38144,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
53,17170.6,0.9583,0.52969,1.18538,0.8858,0.84608,0.88655,0.57968,1.21331,0.64883,1.38454,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
54,17505.4,0.95596,0.52245,1.18258,0.86984,0.85325,0.89078,0.58157,1.21006,0.64289,1.38634,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
55,17832.6,0.93728,0.51685,1.17016,0.89087,0.84628,0.89507,0.58296,1.20815,0.63839,1.38516,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
56,18166.1,0.93326,0.5118,1.16584,0.87408,0.86101,0.89513,0.58424,1.20792,0.63219,1.39212,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
57,18488.5,0.9316,0.51122,1.16808,0.87598,0.84862,0.89516,0.58579,1.20435,0.63318,1.38393,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
58,18811.7,0.92244,0.50756,1.15587,0.8857,0.84703,0.89725,0.58615,1.20666,0.63808,1.39072,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
59,19133.4,0.91573,0.50177,1.15371,0.8812,0.84703,0.89205,0.58463,1.20297,0.6331,1.39213,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
60,19454.3,0.90441,0.49176,1.14593,0.89553,0.83607,0.89077,0.58473,1.20597,0.63708,1.394,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
61,19775.2,0.90127,0.48974,1.14647,0.88549,0.84956,0.88865,0.58463,1.20646,0.64032,1.39587,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
62,20096,0.89902,0.48529,1.14583,0.88245,0.84799,0.8891,0.58566,1.20766,0.63613,1.40052,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
63,20417.2,0.88986,0.48219,1.13898,0.88496,0.84982,0.88897,0.58814,1.20655,0.62888,1.39741,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
64,20738.3,0.88801,0.47984,1.13342,0.88081,0.85435,0.89166,0.586,1.20801,0.62816,1.4033,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
65,21059.3,0.87287,0.47301,1.12724,0.89735,0.83576,0.89055,0.58448,1.20981,0.63389,1.40505,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776
66,21380.1,0.86923,0.47088,1.12301,0.89277,0.84035,0.88965,0.58441,1.20775,0.63924,1.40561,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
67,21701,0.86774,0.46754,1.11886,0.86908,0.86451,0.8907,0.5887,1.2035,0.63248,1.407,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
68,22021.4,0.85498,0.46235,1.11854,0.87764,0.849,0.89357,0.59019,1.19993,0.62918,1.4029,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578
69,22341.7,0.85312,0.46221,1.11721,0.87767,0.85254,0.89305,0.58509,1.20155,0.63068,1.40736,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512
70,22661.9,0.85198,0.45853,1.11519,0.86574,0.86469,0.89158,0.58563,1.20566,0.62735,1.4211,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
71,22982.7,0.8384,0.4527,1.1056,0.86991,0.85708,0.88718,0.58181,1.20513,0.63329,1.41588,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
72,23302.8,0.82623,0.44643,1.10121,0.87471,0.85176,0.88671,0.5814,1.21248,0.63621,1.42421,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314
73,23623.6,0.82619,0.44446,1.10103,0.87031,0.85292,0.88546,0.58433,1.20764,0.63837,1.41997,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
74,23943.6,0.82866,0.44437,1.09912,0.88292,0.84872,0.88787,0.5851,1.20754,0.6354,1.41996,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182
