epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,8307.9,1.10487,0.64188,1.2676,0.86942,0.83747,0.88527,0.56183,1.2533,0.70026,1.36988,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
33,8563.79,1.10229,0.63454,1.26486,0.8541,0.83515,0.88373,0.55799,1.25654,0.70771,1.37337,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
34,8819.42,1.09395,0.62684,1.26254,0.8783,0.83659,0.89146,0.56342,1.25522,0.69494,1.37691,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
35,9074.95,1.07627,0.61347,1.24386,0.87606,0.84116,0.88799,0.56225,1.24845,0.68579,1.37805,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
36,9330.02,1.07584,0.60984,1.24518,0.86398,0.84367,0.89026,0.5623,1.23628,0.68825,1.37441,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
37,9585.61,1.06148,0.60423,1.23617,0.87203,0.83937,0.88924,0.56612,1.24149,0.68029,1.37312,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
38,9841.13,1.0574,0.60213,1.23589,0.88263,0.83482,0.89344,0.56746,1.23114,0.66533,1.36246,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
39,10096.7,1.04915,0.59662,1.2248,0.85741,0.85614,0.89068,0.56899,1.23305,0.67504,1.36493,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
40,10352.1,1.04746,0.5912,1.22419,0.88322,0.82184,0.88979,0.56929,1.23982,0.68113,1.36864,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
41,10607.4,1.03226,0.58179,1.21874,0.8816,0.82719,0.89244,0.57389,1.22628,0.6811,1.36497,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
42,10862.6,1.02079,0.56883,1.2096,0.87706,0.83532,0.8895,0.57135,1.23365,0.67138,1.36942,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
43,11118.3,1.02038,0.56991,1.2053,0.88197,0.83892,0.89556,0.57369,1.22571,0.66662,1.36402,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
44,11373.7,1.01093,0.5694,1.19971,0.86476,0.84984,0.88925,0.57481,1.21536,0.66701,1.36098,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
45,11629.4,0.99825,0.55716,1.19521,0.87313,0.84911,0.8925,0.57619,1.21893,0.66444,1.36125,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
46,11885.1,0.98714,0.54722,1.18605,0.86381,0.85681,0.89417,0.57891,1.22153,0.66566,1.36035,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
47,12140.8,0.99138,0.55005,1.18918,0.86227,0.8543,0.88976,0.57578,1.21832,0.66485,1.36987,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
48,12396.5,0.97584,0.54075,1.17697,0.87866,0.84814,0.89319,0.57822,1.2168,0.65705,1.36193,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
49,12652.1,0.97168,0.53617,1.17498,0.86258,0.85623,0.88952,0.57586,1.21676,0.64962,1.36318,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
50,12907.9,0.97396,0.53779,1.17537,0.88599,0.84272,0.8928,0.58153,1.20911,0.64865,1.36151,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
51,13163.3,0.9607,0.52671,1.16331,0.8862,0.83765,0.88806,0.57622,1.21312,0.65816,1.36245,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
52,13418.9,0.95423,0.52208,1.16178,0.87991,0.85044,0.88966,0.5804,1.2138,0.64495,1.36713,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
53,13674.6,0.93754,0.5189,1.14983,0.89766,0.83263,0.89097,0.58032,1.20643,0.64531,1.36578,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
54,13930.2,0.93851,0.51161,1.15216,0.87469,0.85376,0.88917,0.58116,1.20239,0.64882,1.36223,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
55,14185.9,0.93894,0.51633,1.15013,0.89281,0.8383,0.8922,0.58149,1.20181,0.63692,1.36451,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
56,14441.5,0.92399,0.50282,1.14325,0.88432,0.84564,0.89086,0.58279,1.20002,0.64907,1.36575,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
57,14697.3,0.92021,0.50386,1.13924,0.8871,0.84367,0.89259,0.58408,1.20256,0.64217,1.36208,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
58,14952.9,0.91446,0.49689,1.13536,0.88189,0.85466,0.89808,0.58883,1.20187,0.64304,1.36973,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
59,15208.6,0.91053,0.49459,1.13407,0.87595,0.85848,0.8974,0.58461,1.21051,0.63948,1.37168,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
60,15463.7,0.90064,0.49096,1.13049,0.87473,0.85201,0.89338,0.58035,1.21309,0.63995,1.37215,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
61,15719.2,0.89229,0.48613,1.12196,0.88899,0.85007,0.89172,0.58315,1.2035,0.63529,1.37273,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
62,15974.9,0.8839,0.4849,1.11598,0.89206,0.8431,0.89126,0.58548,1.20412,0.63992,1.37597,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
63,16230.5,0.88213,0.47696,1.12161,0.88273,0.84819,0.88753,0.58243,1.20881,0.64721,1.38151,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
64,16486.2,0.87713,0.47448,1.11348,0.88781,0.84819,0.88605,0.58121,1.2075,0.64066,1.38034,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
65,16741.4,0.86465,0.46987,1.10303,0.88532,0.84426,0.8869,0.58288,1.20218,0.64439,1.37638,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776
66,16997.2,0.86255,0.46409,1.10325,0.87793,0.84802,0.88488,0.58174,1.20287,0.64956,1.37372,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
67,17252.6,0.85533,0.45819,1.09854,0.88401,0.8482,0.88891,0.58416,1.1967,0.64291,1.37009,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
68,17508.3,0.8458,0.45983,1.09641,0.89525,0.83748,0.88947,0.58387,1.20296,0.64216,1.37723,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578
69,17763.6,0.83689,0.45137,1.08815,0.88275,0.84393,0.88726,0.58121,1.2077,0.64466,1.38527,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512
70,18018.5,0.84233,0.45372,1.09229,0.88499,0.84676,0.88937,0.58313,1.2063,0.64104,1.38763,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
71,18273.6,0.83541,0.44876,1.08792,0.90227,0.83286,0.89002,0.58319,1.20789,0.63476,1.38733,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
72,18529.2,0.82597,0.4473,1.08218,0.89276,0.83774,0.88792,0.58646,1.20055,0.63397,1.38314,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314
73,18784.8,0.82132,0.44552,1.07646,0.89042,0.84467,0.88695,0.58605,1.20142,0.63029,1.38817,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
74,19039.7,0.81916,0.43849,1.07355,0.88508,0.84782,0.88668,0.58287,1.20522,0.63936,1.39356,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182
75,19294.6,0.80615,0.43422,1.06757,0.86636,0.859,0.88437,0.58337,1.20165,0.64162,1.39299,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116
76,19549.6,0.79875,0.43013,1.06548,0.87896,0.84935,0.89092,0.58439,1.20126,0.64143,1.39046,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
77,19805.2,0.79409,0.42693,1.06064,0.88423,0.84912,0.89132,0.58442,1.20207,0.64396,1.39184,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984
78,20060.1,0.78075,0.41918,1.05248,0.8857,0.85264,0.89263,0.58855,1.19808,0.63694,1.393,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918
79,20315.3,0.77961,0.42204,1.05513,0.88549,0.85057,0.89178,0.58783,1.19806,0.63585,1.39556,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
80,20570.8,0.77836,0.41657,1.05353,0.88506,0.85135,0.89158,0.58811,1.19716,0.63321,1.39707,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786
81,20826,0.77769,0.41701,1.04961,0.88666,0.85378,0.88978,0.5882,1.20367,0.62867,1.40072,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
82,21081.6,0.76654,0.41184,1.04325,0.8805,0.85837,0.88933,0.58628,1.20701,0.63626,1.40359,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
83,21337.2,0.7581,0.40672,1.03686,0.88128,0.85278,0.88838,0.58588,1.20767,0.63675,1.4061,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588
84,21592.8,0.75368,0.40776,1.03923,0.87683,0.8593,0.88973,0.58539,1.2048,0.63752,1.40837,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522
85,21848.4,0.74268,0.39827,1.03372,0.87317,0.85826,0.88896,0.58703,1.20337,0.64353,1.41197,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
86,22103.9,0.73904,0.39612,1.02743,0.87637,0.8536,0.88688,0.58737,1.20036,0.64674,1.41268,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
87,22359.5,0.73534,0.39517,1.02954,0.8782,0.85233,0.88613,0.58568,1.20007,0.64367,1.41419,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324
88,22614.6,0.73385,0.39455,1.028,0.87318,0.85436,0.88504,0.58698,1.19932,0.64154,1.41593,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
89,22870.2,0.72904,0.38943,1.02607,0.89533,0.83521,0.8843,0.58588,1.20104,0.64097,1.4195,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192
90,23125.7,0.7209,0.38744,1.01893,0.88532,0.83708,0.88361,0.5859,1.20459,0.64239,1.42305,0.012378,0.004126,0.012378,0.004126,0.012378,0.004126,0.012378,0.004126
91,23381.1,0.71168,0.38122,1.01559,0.88353,0.84438,0.88573,0.58539,1.20591,0.64,1.42506,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
92,23636.4,0.70957,0.38002,1.01263,0.87776,0.8482,0.88456,0.58412,1.20719,0.6419,1.4281,0.011982,0.003994,0.011982,0.003994,0.011982,0.003994,0.011982,0.003994
93,23891.6,0.70073,0.3772,1.00862,0.87024,0.85697,0.88317,0.58237,1.20597,0.6441,1.42858,0.011784,0.003928,0.011784,0.003928,0.011784,0.003928,0.011784,0.003928
94,24147.2,0.69769,0.37684,1.00841,0.875,0.85105,0.88241,0.58304,1.2056,0.6462,1.43092,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
95,24403,0.69245,0.371,1.00313,0.88082,0.84852,0.88197,0.58298,1.20544,0.64406,1.43295,0.011388,0.003796,0.011388,0.003796,0.011388,0.003796,0.011388,0.003796
96,24658.6,0.68855,0.36995,1.0026,0.88252,0.84834,0.88181,0.58264,1.20643,0.64804,1.43627,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
97,24914,0.6777,0.36674,0.99515,0.88184,0.84438,0.88074,0.58179,1.20659,0.6489,1.43823,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
98,25169.5,0.67172,0.36314,0.99588,0.87721,0.84755,0.88034,0.58188,1.20582,0.6505,1.43805,0.010794,0.003598,0.010794,0.003598,0.010794,0.003598,0.010794,0.003598
99,25425,0.67355,0.36466,0.99273,0.88281,0.84715,0.88019,0.58167,1.20491,0.64777,1.43914,0.010596,0.003532,0.010596,0.003532,0.010596,0.003532,0.010596,0.003532
100,25680.4,0.66991,0.36163,0.991,0.88193,0.8466,0.88065,0.58304,1.20453,0.65005,1.44041,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
101,25936.2,0.65681,0.35613,0.98377,0.88138,0.8466,0.87857,0.58273,1.2024,0.65209,1.43992,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
102,26191.7,0.65797,0.35538,0.98316,0.88208,0.84913,0.88034,0.58283,1.20234,0.65067,1.44134,0.010002,0.003334,0.010002,0.003334,0.010002,0.003334,0.010002,0.003334
103,26447.1,0.64425,0.35034,0.98015,0.88322,0.84819,0.87985,0.58377,1.20248,0.64941,1.44322,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
104,26702.7,0.64019,0.34859,0.97386,0.88387,0.84858,0.88001,0.58415,1.20207,0.64718,1.44462,0.009606,0.003202,0.009606,0.003202,0.009606,0.003202,0.009606,0.003202
105,26958.3,0.63098,0.34319,0.9701,0.88327,0.84787,0.88114,0.58441,1.20129,0.64605,1.44659,0.009408,0.003136,0.009408,0.003136,0.009408,0.003136,0.009408,0.003136
106,27213.5,0.63394,0.34417,0.97388,0.88564,0.84755,0.88204,0.58509,1.20158,0.64604,1.44802,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
107,27468.3,0.62481,0.34007,0.96642,0.88582,0.84867,0.88203,0.5853,1.20158,0.64586,1.45017,0.009012,0.003004,0.009012,0.003004,0.009012,0.003004,0.009012,0.003004
108,27725.4,0.62128,0.33752,0.96531,0.88626,0.8478,0.88184,0.58526,1.20165,0.64498,1.45136,0.008814,0.002938,0.008814,0.002938,0.008814,0.002938,0.008814,0.002938
