epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,349.311,1.1226,0.70853,1.03388,0.75729,0.77849,0.80174,0.45399,1.50085,0.91331,1.26141,0.00121591,0.00121591,0.00121591
43,357.153,1.10587,0.71739,1.02477,0.84583,0.74932,0.81303,0.46793,1.43317,0.89948,1.22283,0.00120491,0.00120491,0.00120491
44,364.954,1.07499,0.67653,1.00603,0.81426,0.74433,0.81406,0.46022,1.4263,0.89442,1.2038,0.00119391,0.00119391,0.00119391
45,372.636,1.11086,0.70602,1.01736,0.80392,0.73503,0.80759,0.46113,1.44975,0.86636,1.27235,0.0011829,0.0011829,0.0011829
46,380.316,1.07147,0.7023,1.02226,0.8332,0.73256,0.80891,0.47957,1.35392,0.86686,1.19264,0.0011719,0.0011719,0.0011719
47,388.048,1.05539,0.6785,1.00533,0.80548,0.73262,0.77444,0.44956,1.41115,0.91196,1.22068,0.0011609,0.0011609,0.0011609
48,395.735,1.10783,0.70047,1.01549,0.83093,0.69299,0.76985,0.43546,1.50774,1.03331,1.23937,0.0011499,0.0011499,0.0011499
49,403.378,1.06402,0.67519,1.00336,0.82781,0.67867,0.79194,0.45041,1.62398,1.00476,1.25382,0.00113889,0.00113889,0.00113889
50,411.052,1.09255,0.69706,0.99533,0.83728,0.73515,0.81048,0.45458,1.5873,0.89757,1.22245,0.00112789,0.00112789,0.00112789
51,418.838,1.03685,0.65722,1.00558,0.83501,0.74774,0.81427,0.4821,1.34416,0.82725,1.18491,0.00111689,0.00111689,0.00111689
52,426.609,1.02421,0.64501,0.99614,0.76796,0.798,0.83182,0.46393,1.39851,0.82385,1.21726,0.00110589,0.00110589,0.00110589
53,434.274,1.06781,0.65425,1.00751,0.69756,0.7426,0.75936,0.45788,1.3899,0.96701,1.20701,0.00109489,0.00109489,0.00109489
54,441.944,1.04647,0.66423,1.0079,0.7694,0.70951,0.77603,0.44828,1.45835,0.93394,1.2202,0.00108388,0.00108388,0.00108388
55,449.567,1.00343,0.63108,0.98722,0.88003,0.73192,0.8372,0.49465,1.49518,0.89342,1.22278,0.00107288,0.00107288,0.00107288
56,457.441,1.0184,0.64253,0.99374,0.8347,0.72562,0.80864,0.46514,1.49157,1.0298,1.2811,0.00106188,0.00106188,0.00106188
57,465.132,0.9981,0.64049,0.97233,0.88882,0.72766,0.82583,0.46818,1.39169,0.91264,1.1889,0.00105088,0.00105088,0.00105088
58,472.775,1.01075,0.64878,0.9928,0.84679,0.72732,0.79447,0.45361,1.40165,0.924,1.22027,0.00103987,0.00103987,0.00103987
59,480.526,0.99177,0.62279,0.982,0.82313,0.71138,0.82051,0.49691,1.40874,0.85252,1.21425,0.00102887,0.00102887,0.00102887
60,488.4,1.00504,0.61323,0.99262,0.84731,0.75811,0.83251,0.49127,1.42548,0.80375,1.2131,0.00101787,0.00101787,0.00101787
61,496.081,1.01215,0.61754,0.98387,0.8339,0.7517,0.82757,0.49396,1.36366,0.79066,1.18612,0.00100687,0.00100687,0.00100687
62,503.76,0.95504,0.59574,0.95699,0.80616,0.7956,0.85114,0.49928,1.3916,0.79103,1.19832,0.000995866,0.000995866,0.000995866
63,511.592,0.95771,0.57883,0.96621,0.80583,0.80404,0.83884,0.51697,1.37732,0.79665,1.19754,0.000984864,0.000984864,0.000984864
64,519.352,0.96169,0.60006,0.95962,0.85841,0.75693,0.83753,0.47941,1.40046,0.82022,1.18565,0.000973861,0.000973861,0.000973861
65,527.073,0.95425,0.58905,0.95081,0.86939,0.73455,0.85425,0.50991,1.47107,0.78711,1.21219,0.000962859,0.000962859,0.000962859
66,534.754,0.92972,0.57643,0.95576,0.79305,0.78925,0.82076,0.48387,1.4759,0.86856,1.19927,0.000951857,0.000951857,0.000951857
67,542.382,0.94984,0.57549,0.9678,0.82006,0.71564,0.79855,0.46751,1.49274,0.82111,1.2134,0.000940855,0.000940855,0.000940855
68,550.023,0.94945,0.59488,0.97057,0.85618,0.75008,0.82746,0.48607,1.38349,0.79705,1.18518,0.000929853,0.000929853,0.000929853
69,557.746,0.94118,0.58551,0.95251,0.78343,0.76198,0.8144,0.48618,1.385,0.85819,1.19743,0.00091885,0.00091885,0.00091885
70,565.41,0.94138,0.58853,0.96799,0.82023,0.7527,0.82152,0.47416,1.46772,0.89505,1.20125,0.000907848,0.000907848,0.000907848
71,573.088,0.96516,0.57828,0.95575,0.88884,0.69177,0.82701,0.48795,1.3985,0.81444,1.21771,0.000896846,0.000896846,0.000896846
72,580.852,0.92832,0.56464,0.9556,0.84234,0.76114,0.82237,0.48126,1.51483,0.85109,1.21213,0.000885844,0.000885844,0.000885844
73,588.531,0.89813,0.55247,0.94021,0.83703,0.72917,0.8289,0.49015,1.50486,0.82134,1.24118,0.000874842,0.000874842,0.000874842
74,596.211,0.91377,0.56265,0.93709,0.79332,0.78455,0.83176,0.48983,1.40835,0.78928,1.18659,0.000863839,0.000863839,0.000863839
75,603.863,0.88856,0.53554,0.94113,0.74334,0.81605,0.80927,0.47629,1.37682,0.77467,1.17808,0.000852837,0.000852837,0.000852837
76,611.617,0.88457,0.55411,0.94076,0.79642,0.78115,0.82102,0.4876,1.40945,0.83379,1.17922,0.000841835,0.000841835,0.000841835
77,619.281,0.91147,0.55237,0.95832,0.82452,0.80992,0.84074,0.48641,1.59966,0.85499,1.24586,0.000830833,0.000830833,0.000830833
78,626.924,0.89129,0.5281,0.93874,0.82303,0.79055,0.85716,0.50864,1.33494,0.75498,1.20132,0.000819831,0.000819831,0.000819831
