epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.896,1.9226,3.22462,1.38397,0.09609,0.38206,0.08239,0.03288,1.96217,7.84052,1.68457,0.00046676,0.00046676,0.00046676
2,27.2296,1.89848,1.86418,1.39233,0.29847,0.26156,0.14539,0.05716,2.58903,5.50213,3.68881,0.000943919,0.000943919,0.000943919
3,35.4657,1.85699,1.75908,1.42756,0.00797,0.10588,0.00769,0.00239,2.60374,169.108,3.70489,0.0014147,0.0014147,0.0014147
4,43.3838,1.86833,1.80168,1.43331,0.26819,0.37677,0.21349,0.08894,2.18471,23.8911,2.02804,0.00163399,0.00163399,0.00163399
5,54.094,1.8935,1.67575,1.44216,0,0,0,0,nan,nan,nan,0.00162299,0.00162299,0.00162299
6,64.4718,1.86221,1.66212,1.42098,0.0336,0.07736,0.00449,0.00166,nan,nan,nan,0.00161199,0.00161199,0.00161199
7,72.7029,1.79035,1.51953,1.38014,0.24773,0.20523,0.15862,0.07372,nan,nan,nan,0.00160099,0.00160099,0.00160099
8,80.4363,1.74067,1.4215,1.32925,0.52089,0.42733,0.40709,0.1447,2.1229,2.71384,1.74909,0.00158998,0.00158998,0.00158998
9,88.2702,1.72636,1.4144,1.34765,0.44983,0.39542,0.3659,0.16512,1.95184,3.09615,1.57272,0.00157898,0.00157898,0.00157898
10,96.0367,1.69294,1.41123,1.31029,0.49607,0.27329,0.26564,0.11761,2.27968,2.48267,1.82622,0.00156798,0.00156798,0.00156798
11,103.741,1.63952,1.32161,1.27471,0.61186,0.31578,0.34914,0.15024,2.3336,2.42884,1.75931,0.00155698,0.00155698,0.00155698
12,111.533,1.66735,1.37117,1.29731,0.55324,0.50802,0.50459,0.23269,1.67105,3.94727,1.4262,0.00154598,0.00154598,0.00154598
13,119.331,1.56242,1.26662,1.2432,0.66466,0.55425,0.59355,0.29091,1.73667,1.70116,1.40336,0.00153497,0.00153497,0.00153497
14,127.099,1.61374,1.27014,1.27071,0.63368,0.5391,0.5876,0.26816,1.95194,1.80527,1.47138,0.00152397,0.00152397,0.00152397
15,134.793,1.62407,1.26718,1.29509,0.67666,0.52283,0.58277,0.28392,1.71002,1.97382,1.44874,0.00151297,0.00151297,0.00151297
16,142.535,1.56951,1.24282,1.26687,0.61688,0.65181,0.65222,0.30991,1.80089,1.41636,1.37789,0.00150197,0.00150197,0.00150197
17,150.34,1.57336,1.19226,1.23617,0.70149,0.59047,0.65968,0.31994,1.79588,1.4818,1.39301,0.00149096,0.00149096,0.00149096
18,158.171,1.56958,1.18684,1.25687,0.71508,0.47944,0.54654,0.25301,1.86519,1.60371,1.42508,0.00147996,0.00147996,0.00147996
19,165.861,1.57874,1.18605,1.26011,0.65369,0.61236,0.62077,0.31523,1.75806,2.09942,1.381,0.00146896,0.00146896,0.00146896
