epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1429.34,1.24928,0.90657,1.12478,0.73642,0.65485,0.72419,0.37242,1.63178,1.18112,1.25629,0.00121591,0.00121591,0.00121591
43,1463.15,1.24648,0.90794,1.12672,0.81026,0.6871,0.77326,0.41987,1.53125,1.0178,1.20387,0.00120491,0.00120491,0.00120491
44,1497.06,1.22897,0.85984,1.12311,0.76353,0.66028,0.73698,0.41063,1.52825,1.07219,1.219,0.00119391,0.00119391,0.00119391
45,1530.79,1.21756,0.85631,1.11314,0.80387,0.67005,0.74823,0.41499,1.5598,1.03813,1.22923,0.0011829,0.0011829,0.0011829
46,1564.52,1.22083,0.85866,1.10199,0.80149,0.64992,0.74879,0.40542,1.5874,1.07704,1.22303,0.0011719,0.0011719,0.0011719
47,1598.43,1.20918,0.84663,1.10184,0.81925,0.6739,0.77727,0.43285,1.49777,1.00453,1.19352,0.0011609,0.0011609,0.0011609
48,1632.29,1.18577,0.83301,1.09466,0.82658,0.71701,0.78621,0.41592,1.54668,1.01497,1.21105,0.0011499,0.0011499,0.0011499
49,1666.05,1.18468,0.82597,1.0913,0.77528,0.68115,0.74923,0.40837,1.55916,1.02763,1.22608,0.00113889,0.00113889,0.00113889
50,1699.76,1.19825,0.85245,1.10456,0.81681,0.70516,0.78899,0.44362,1.51103,0.98406,1.18818,0.00112789,0.00112789,0.00112789
51,1733.56,1.16682,0.80667,1.08559,0.81429,0.71475,0.7757,0.43466,1.51454,0.97886,1.2064,0.00111689,0.00111689,0.00111689
52,1767.32,1.16211,0.81155,1.08544,0.75687,0.74732,0.7829,0.4343,1.52432,0.98495,1.19468,0.00110589,0.00110589,0.00110589
53,1801.01,1.14091,0.78412,1.07154,0.77733,0.71119,0.78049,0.45187,1.49944,0.99425,1.1855,0.00109489,0.00109489,0.00109489
54,1834.84,1.1628,0.80448,1.0872,0.77858,0.72945,0.79842,0.45005,1.46379,0.98701,1.17297,0.00108388,0.00108388,0.00108388
55,1868.55,1.146,0.78752,1.06915,0.81336,0.74187,0.80445,0.46971,1.465,0.94784,1.17894,0.00107288,0.00107288,0.00107288
56,1902.37,1.16007,0.78635,1.08346,0.77413,0.68337,0.75782,0.4122,1.5744,1.04634,1.22777,0.00106188,0.00106188,0.00106188
57,1936.09,1.14349,0.78745,1.07177,0.78471,0.73685,0.80197,0.45261,1.48023,0.94845,1.17638,0.00105088,0.00105088,0.00105088
58,1969.83,1.12633,0.76807,1.067,0.83525,0.71588,0.80426,0.4659,1.4584,0.90921,1.16497,0.00103987,0.00103987,0.00103987
59,2003.56,1.13555,0.78814,1.07176,0.81562,0.70799,0.77916,0.41259,1.61678,1.01512,1.21606,0.00102887,0.00102887,0.00102887
60,2037.31,1.12665,0.75079,1.07197,0.78434,0.71667,0.77897,0.43822,1.49589,0.97056,1.17963,0.00101787,0.00101787,0.00101787
61,2071.06,1.1027,0.73974,1.06303,0.81833,0.73656,0.80939,0.46228,1.47404,0.94019,1.17874,0.00100687,0.00100687,0.00100687
62,2104.79,1.11303,0.74216,1.05055,0.822,0.69793,0.77615,0.44655,1.47763,1.00336,1.1771,0.000995866,0.000995866,0.000995866
63,2138.55,1.11319,0.75641,1.05667,0.81459,0.74581,0.80601,0.47711,1.41056,0.93035,1.15522,0.000984864,0.000984864,0.000984864
64,2172.41,1.10117,0.74588,1.05791,0.81236,0.72338,0.79332,0.45284,1.46046,0.93392,1.17332,0.000973861,0.000973861,0.000973861
65,2206.16,1.07552,0.72068,1.04178,0.81669,0.74183,0.81235,0.46966,1.46434,0.92944,1.17949,0.000962859,0.000962859,0.000962859
66,2239.92,1.08445,0.72049,1.04355,0.84072,0.74708,0.81758,0.47076,1.4485,0.90068,1.16901,0.000951857,0.000951857,0.000951857
67,2273.69,1.06613,0.71697,1.04149,0.82608,0.73672,0.80945,0.46095,1.46487,0.92256,1.17808,0.000940855,0.000940855,0.000940855
68,2307.43,1.05973,0.70725,1.03335,0.80835,0.76993,0.81034,0.48173,1.42525,0.89335,1.16211,0.000929853,0.000929853,0.000929853
69,2341.29,1.05377,0.69544,1.03301,0.80458,0.73358,0.80077,0.45631,1.49227,0.93551,1.18736,0.00091885,0.00091885,0.00091885
70,2375.03,1.06365,0.70842,1.04448,0.80508,0.75632,0.80819,0.47656,1.42207,0.92377,1.15286,0.000907848,0.000907848,0.000907848
71,2408.73,1.05749,0.69899,1.03396,0.8361,0.74829,0.80806,0.47674,1.43865,0.90171,1.16541,0.000896846,0.000896846,0.000896846
