epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,6370.93,1.09067,0.62317,1.08712,0.86437,0.82683,0.88065,0.55562,1.20777,0.64942,1.16474,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
33,6566.19,1.08356,0.61401,1.0816,0.85967,0.82776,0.88284,0.55795,1.20053,0.65019,1.16203,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
34,6761.35,1.07543,0.6049,1.08175,0.86432,0.83069,0.88113,0.55705,1.19752,0.6472,1.15663,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
35,6956.52,1.06172,0.59833,1.07097,0.85428,0.83701,0.88075,0.55789,1.2004,0.64652,1.16362,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
36,7151.68,1.05916,0.59752,1.06924,0.88196,0.8231,0.8802,0.55841,1.19253,0.64332,1.15182,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
37,7347.02,1.04946,0.5885,1.06293,0.87674,0.8271,0.8835,0.56174,1.18477,0.64009,1.15302,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
38,7542.67,1.04289,0.58196,1.06439,0.87372,0.82713,0.88554,0.56364,1.18711,0.62965,1.15595,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
39,7737.62,1.03653,0.57735,1.05704,0.87814,0.82681,0.88443,0.5652,1.1735,0.62219,1.15247,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
40,7932.61,1.03854,0.57641,1.05603,0.86123,0.83978,0.88696,0.56763,1.17897,0.62527,1.15408,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
41,8127.97,1.01858,0.55901,1.0475,0.87288,0.83243,0.8817,0.56633,1.17209,0.62762,1.15004,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
42,8323.3,1.0084,0.55459,1.04381,0.86203,0.84817,0.88918,0.56843,1.172,0.62306,1.15513,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
43,8518.28,1.01018,0.55942,1.04691,0.88033,0.82922,0.88688,0.56916,1.17964,0.62162,1.15716,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
44,8713.32,0.99593,0.55352,1.03943,0.87752,0.84112,0.89376,0.57344,1.18073,0.61421,1.15293,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
45,8908.51,0.99401,0.54757,1.03957,0.87821,0.83638,0.89048,0.57396,1.17686,0.61004,1.15128,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
46,9103.65,0.98241,0.5379,1.03184,0.88476,0.83797,0.8937,0.5754,1.16862,0.60985,1.15706,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
47,9299.05,0.98201,0.5331,1.03208,0.8778,0.84066,0.89371,0.57852,1.16976,0.60208,1.15057,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
48,9494.25,0.97084,0.52864,1.02457,0.8742,0.83682,0.89106,0.57835,1.16121,0.59867,1.14944,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
49,9689.34,0.96106,0.52391,1.0258,0.86555,0.84821,0.89165,0.57529,1.17018,0.59633,1.15363,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
50,9884.47,0.96273,0.52107,1.02375,0.87429,0.84369,0.88722,0.57781,1.16366,0.59681,1.14771,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
51,10079.4,0.95079,0.5162,1.01617,0.89009,0.83669,0.89149,0.5787,1.16784,0.60072,1.15416,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
52,10274.4,0.95061,0.50965,1.01789,0.87613,0.84659,0.88686,0.57203,1.17529,0.60223,1.16075,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
53,10469.3,0.93263,0.50661,1.0107,0.88514,0.84305,0.8924,0.57899,1.16614,0.60215,1.16222,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
54,10664.5,0.93494,0.49988,1.01097,0.87744,0.8455,0.89086,0.57799,1.17298,0.59916,1.15746,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
